CMDLINE ./run.sh
MEM 0.640625 1764294060.3424
MEM 1.640625 1764294060.4476
MEM 1.640625 1764294060.5490
MEM 1.640625 1764294060.6518
MEM 1.640625 1764294060.7569
MEM 1.640625 1764294060.8594
MEM 1.640625 1764294060.9645
MEM 1.640625 1764294061.0697
MEM 1.640625 1764294061.1748
MEM 1.640625 1764294061.2799
MEM 1.640625 1764294061.3850
MEM 1.640625 1764294061.4901
MEM 1.640625 1764294061.5912
MEM 1.640625 1764294061.6963
MEM 1.640625 1764294061.7995
MEM 1.640625 1764294061.9003
MEM 1.640625 1764294062.0030
MEM 1.640625 1764294062.1078
MEM 1.640625 1764294062.2129
MEM 1.640625 1764294062.3181
MEM 1.640625 1764294062.4230
MEM 1.640625 1764294062.5245
MEM 1.640625 1764294062.6296
MEM 1.640625 1764294062.7329
MEM 1.640625 1764294062.8380
MEM 1.640625 1764294062.9412
MEM 1.640625 1764294063.0464
MEM 1.640625 1764294063.1509
MEM 1.640625 1764294063.2513
MEM 1.640625 1764294063.3565
MEM 1.640625 1764294063.4585
MEM 1.640625 1764294063.5637
MEM 1.640625 1764294063.6673
MEM 1.640625 1764294063.7725
MEM 1.640625 1764294063.8776
MEM 1.640625 1764294063.9828
MEM 1.640625 1764294064.0847
MEM 1.640625 1764294064.1899
MEM 1.640625 1764294064.2927
MEM 1.640625 1764294064.3941
MEM 1.640625 1764294064.4943
MEM 1.640625 1764294064.5954
MEM 1.640625 1764294064.6996
MEM 1.640625 1764294064.8048
MEM 1.640625 1764294064.9100
MEM 1.640625 1764294065.0138
MEM 1.640625 1764294065.1152
MEM 1.640625 1764294065.2163
MEM 1.640625 1764294065.3214
MEM 1.640625 1764294065.4261
MEM 1.640625 1764294065.5279
MEM 1.640625 1764294065.6332
MEM 1.640625 1764294065.7384
MEM 1.640625 1764294065.8403
MEM 1.640625 1764294065.9455
MEM 1.640625 1764294066.0470
MEM 1.640625 1764294066.1522
MEM 1.640625 1764294066.2574
MEM 1.640625 1764294066.3626
MEM 1.640625 1764294066.4662
MEM 1.640625 1764294066.5674
MEM 1.640625 1764294066.6700
MEM 1.640625 1764294066.7751
MEM 0.828125 1764294066.8753
MEM 0.828125 1764294066.9760
MEM 0.828125 1764294067.0765
MEM 0.828125 1764294067.1767
MEM 0.828125 1764294067.2771
MEM 0.828125 1764294067.3775
MEM 0.828125 1764294067.4785
MEM 0.828125 1764294067.5822
MEM 0.828125 1764294067.6824
MEM 0.828125 1764294067.7826
MEM 0.828125 1764294067.8828
MEM 0.828125 1764294067.9831
MEM 0.828125 1764294068.0838
MEM 0.828125 1764294068.1844
MEM 0.828125 1764294068.2896
MEM 0.828125 1764294068.3912
MEM 0.828125 1764294068.4966
MEM 0.828125 1764294068.5996
MEM 0.828125 1764294068.7047
MEM 0.828125 1764294068.8085
MEM 0.828125 1764294068.9135
MEM 0.828125 1764294069.0163
MEM 0.828125 1764294069.1214
MEM 0.828125 1764294069.2267
MEM 0.828125 1764294069.3319
MEM 0.828125 1764294069.4358
MEM 0.828125 1764294069.5412
MEM 0.828125 1764294069.6424
MEM 0.828125 1764294069.7436
MEM 0.828125 1764294069.8476
MEM 0.828125 1764294069.9529
MEM 0.828125 1764294070.0581
MEM 0.828125 1764294070.1632
