CMDLINE ./run.sh
MEM 0.156250 1764287257.8747
MEM 1.640625 1764287257.9791
MEM 1.640625 1764287258.0843
MEM 1.640625 1764287258.1875
MEM 1.640625 1764287258.2926
MEM 1.640625 1764287258.3953
MEM 1.640625 1764287258.5005
MEM 1.640625 1764287258.6056
MEM 1.640625 1764287258.7108
MEM 1.640625 1764287258.8157
MEM 1.640625 1764287258.9208
MEM 1.640625 1764287259.0260
MEM 1.640625 1764287259.1291
MEM 1.640625 1764287259.2307
MEM 1.640625 1764287259.3359
MEM 1.640625 1764287259.4410
MEM 1.640625 1764287259.5443
MEM 1.640625 1764287259.6458
MEM 1.640625 1764287259.7509
MEM 1.640625 1764287259.8541
MEM 1.640625 1764287259.9592
MEM 1.640625 1764287260.0643
MEM 1.640625 1764287260.1646
MEM 1.640625 1764287260.2697
MEM 1.640625 1764287260.3749
MEM 1.640625 1764287260.4797
MEM 1.640625 1764287260.5813
MEM 1.640625 1764287260.6865
MEM 1.640625 1764287260.7912
MEM 1.640625 1764287260.8964
MEM 0.812500 1764287261.0015
MEM 0.812500 1764287261.1020
MEM 0.812500 1764287261.2025
MEM 0.812500 1764287261.3058
MEM 0.812500 1764287261.4102
MEM 0.812500 1764287261.5145
MEM 0.812500 1764287261.6154
MEM 0.812500 1764287261.7185
MEM 0.812500 1764287261.8237
MEM 0.828125 1764287261.9257
MEM 0.828125 1764287262.0302
MEM 0.828125 1764287262.1306
MEM 0.828125 1764287262.2309
MEM 0.828125 1764287262.3316
MEM 0.828125 1764287262.4319
MEM 0.828125 1764287262.5321
MEM 0.828125 1764287262.6323
MEM 0.828125 1764287262.7375
MEM 0.828125 1764287262.8393
MEM 0.828125 1764287262.9398
MEM 0.828125 1764287263.0450
MEM 0.828125 1764287263.1496
MEM 0.828125 1764287263.2532
MEM 0.828125 1764287263.3578
MEM 0.828125 1764287263.4615
MEM 0.828125 1764287263.5666
MEM 0.828125 1764287263.6699
MEM 0.828125 1764287263.7707
MEM 0.828125 1764287263.8758
MEM 0.828125 1764287263.9809
MEM 0.828125 1764287264.0811
MEM 0.828125 1764287264.1813
MEM 0.828125 1764287264.2825
MEM 0.828125 1764287264.3841
MEM 0.828125 1764287264.4879
MEM 0.828125 1764287264.5913
MEM 0.828125 1764287264.6920
MEM 0.828125 1764287264.7956
MEM 0.828125 1764287264.9008
MEM 0.828125 1764287265.0053
MEM 0.828125 1764287265.1105
MEM 0.828125 1764287265.2120
MEM 0.828125 1764287265.3146
MEM 0.828125 1764287265.4197
MEM 0.828125 1764287265.5249
MEM 0.828125 1764287265.6301
MEM 0.828125 1764287265.7353
MEM 0.828125 1764287265.8369
MEM 0.828125 1764287265.9380
MEM 0.828125 1764287266.0417
MEM 0.828125 1764287266.1469
MEM 0.828125 1764287266.2498
MEM 0.828125 1764287266.3541
MEM 0.828125 1764287266.4593
MEM 0.828125 1764287266.5607
MEM 0.828125 1764287266.6609
MEM 0.828125 1764287266.7617
MEM 0.828125 1764287266.8653
MEM 0.828125 1764287266.9655
MEM 0.828125 1764287267.0683
MEM 0.828125 1764287267.1736
MEM 0.828125 1764287267.2768
MEM 0.828125 1764287267.3792
MEM 0.828125 1764287267.4820
MEM 0.812500 1764287267.5871
MEM 0.812500 1764287267.6923
MEM 0.812500 1764287267.7928
MEM 0.812500 1764287267.8947
MEM 0.812500 1764287267.9964
MEM 0.812500 1764287268.1008
MEM 0.812500 1764287268.2015
MEM 0.812500 1764287268.3041
MEM 0.812500 1764287268.4115
MEM 0.796875 1764287268.5121
MEM 0.781250 1764287268.6172
MEM 0.765625 1764287268.7224
MEM 0.765625 1764287268.8247
MEM 0.765625 1764287268.9255
MEM 0.765625 1764287269.0307
MEM 0.765625 1764287269.1320
MEM 0.765625 1764287269.2331
MEM 0.765625 1764287269.3383
MEM 0.765625 1764287269.4394
MEM 0.765625 1764287269.5442
MEM 0.765625 1764287269.6494
MEM 0.765625 1764287269.7515
MEM 0.765625 1764287269.8536
MEM 0.765625 1764287269.9588
MEM 0.765625 1764287270.0627
MEM 0.765625 1764287270.1630
MEM 0.765625 1764287270.2682
MEM 0.750000 1764287270.3734
MEM 0.750000 1764287270.4736
MEM 0.734375 1764287270.5739
MEM 0.343750 1764287270.6791
MEM 0.343750 1764287270.7816
MEM 0.343750 1764287270.8869
MEM 0.343750 1764287270.9909
MEM 0.343750 1764287271.0962
MEM 0.328125 1764287271.2013
MEM 0.343750 1764287271.3016
MEM 0.343750 1764287271.4020
