CMDLINE ./run.sh
MEM 0.156250 1764294071.2479
MEM 1.828125 1764294071.3531
MEM 1.828125 1764294071.4580
MEM 1.828125 1764294071.5631
MEM 1.828125 1764294071.6660
MEM 1.828125 1764294071.7675
MEM 1.828125 1764294071.8726
MEM 1.828125 1764294071.9763
MEM 1.828125 1764294072.0814
MEM 1.828125 1764294072.1865
MEM 1.828125 1764294072.2917
MEM 1.828125 1764294072.3962
MEM 1.828125 1764294072.5008
MEM 1.828125 1764294072.6059
MEM 1.828125 1764294072.7079
MEM 1.828125 1764294072.8131
MEM 1.828125 1764294072.9174
MEM 1.828125 1764294073.0225
MEM 1.828125 1764294073.1245
MEM 1.828125 1764294073.2296
MEM 1.828125 1764294073.3348
MEM 1.828125 1764294073.4356
MEM 1.828125 1764294073.5407
MEM 1.828125 1764294073.6458
MEM 1.828125 1764294073.7503
MEM 1.828125 1764294073.8554
MEM 1.828125 1764294073.9580
MEM 1.828125 1764294074.0631
MEM 1.828125 1764294074.1683
MEM 1.828125 1764294074.2734
MEM 1.828125 1764294074.3785
MEM 1.828125 1764294074.4830
MEM 1.828125 1764294074.5875
MEM 1.828125 1764294074.6878
MEM 0.828125 1764294074.7904
MEM 0.828125 1764294074.8909
MEM 0.828125 1764294074.9923
MEM 0.828125 1764294075.0975
MEM 0.828125 1764294075.1988
MEM 0.828125 1764294075.2992
MEM 0.828125 1764294075.4043
MEM 0.828125 1764294075.5095
MEM 0.828125 1764294075.6147
MEM 0.828125 1764294075.7154
MEM 0.828125 1764294075.8166
MEM 0.828125 1764294075.9190
MEM 0.828125 1764294076.0241
MEM 0.828125 1764294076.1249
MEM 0.828125 1764294076.2301
MEM 0.828125 1764294076.3335
MEM 0.828125 1764294076.4348
MEM 0.828125 1764294076.5421
MEM 0.828125 1764294076.6441
MEM 0.828125 1764294076.7493
MEM 0.828125 1764294076.8495
MEM 0.828125 1764294076.9501
MEM 0.828125 1764294077.0517
MEM 0.828125 1764294077.1519
MEM 0.828125 1764294077.2523
MEM 0.828125 1764294077.3575
MEM 0.828125 1764294077.4599
MEM 0.828125 1764294077.5602
MEM 0.828125 1764294077.6647
MEM 0.828125 1764294077.7652
MEM 0.828125 1764294077.8656
MEM 0.828125 1764294077.9708
MEM 0.828125 1764294078.0730
MEM 0.828125 1764294078.1737
MEM 0.828125 1764294078.2740
MEM 0.828125 1764294078.3792
MEM 0.828125 1764294078.4844
