CMDLINE ./run.sh
MEM 0.109375 1764294072.2664
MEM 1.640625 1764294072.3716
MEM 1.640625 1764294072.4761
MEM 1.640625 1764294072.5813
MEM 1.640625 1764294072.6864
MEM 1.640625 1764294072.7915
MEM 1.640625 1764294072.8966
MEM 1.640625 1764294072.9996
MEM 1.640625 1764294073.1005
MEM 1.640625 1764294073.2014
MEM 1.640625 1764294073.3066
MEM 1.640625 1764294073.4079
MEM 1.640625 1764294073.5130
MEM 1.640625 1764294073.6182
MEM 1.640625 1764294073.7233
MEM 1.640625 1764294073.8284
MEM 1.640625 1764294073.9329
MEM 1.640625 1764294074.0380
MEM 1.640625 1764294074.1432
MEM 1.640625 1764294074.2469
MEM 1.640625 1764294074.3520
MEM 1.640625 1764294074.4522
MEM 1.640625 1764294074.5525
MEM 1.640625 1764294074.6527
MEM 0.828125 1764294074.7579
MEM 0.828125 1764294074.8631
MEM 0.828125 1764294074.9653
MEM 0.828125 1764294075.0657
MEM 0.828125 1764294075.1665
MEM 0.828125 1764294075.2682
MEM 0.828125 1764294075.3699
MEM 0.828125 1764294075.4751
MEM 0.828125 1764294075.5803
MEM 0.828125 1764294075.6842
MEM 0.828125 1764294075.7894
MEM 0.828125 1764294075.8912
MEM 0.828125 1764294075.9926
MEM 0.828125 1764294076.0978
MEM 0.828125 1764294076.1990
MEM 0.828125 1764294076.3038
MEM 0.828125 1764294076.4079
MEM 0.828125 1764294076.5103
MEM 0.828125 1764294076.6182
MEM 0.828125 1764294076.7269
MEM 0.828125 1764294076.8290
MEM 0.828125 1764294076.9323
MEM 0.828125 1764294077.0354
MEM 0.828125 1764294077.1359
MEM 0.828125 1764294077.2365
MEM 0.828125 1764294077.3413
MEM 0.828125 1764294077.4424
MEM 0.828125 1764294077.5428
MEM 0.828125 1764294077.6449
MEM 0.828125 1764294077.7458
MEM 0.828125 1764294077.8462
MEM 0.828125 1764294077.9496
MEM 0.828125 1764294078.0548
MEM 0.828125 1764294078.1570
MEM 0.828125 1764294078.2578
MEM 0.828125 1764294078.3630
MEM 0.828125 1764294078.4682
MEM 0.828125 1764294078.5709
MEM 0.828125 1764294078.6750
MEM 0.828125 1764294078.7755
MEM 0.828125 1764294078.8764
MEM 0.828125 1764294078.9773
MEM 0.828125 1764294079.0776
MEM 0.812500 1764294079.1783
MEM 0.812500 1764294079.2790
MEM 0.812500 1764294079.3843
MEM 0.812500 1764294079.4845
MEM 0.812500 1764294079.5850
MEM 0.812500 1764294079.6856
MEM 0.812500 1764294079.7872
MEM 0.796875 1764294079.8875
MEM 0.796875 1764294079.9878
MEM 0.796875 1764294080.0884
MEM 0.796875 1764294080.1889
MEM 0.796875 1764294080.2891
MEM 0.796875 1764294080.3943
MEM 0.796875 1764294080.4945
MEM 0.796875 1764294080.5974
MEM 0.796875 1764294080.7031
MEM 0.796875 1764294080.8045
MEM 0.796875 1764294080.9096
MEM 0.796875 1764294081.0143
MEM 0.796875 1764294081.1181
MEM 0.812500 1764294081.2233
MEM 0.812500 1764294081.3282
MEM 0.812500 1764294081.4334
MEM 0.812500 1764294081.5388
MEM 0.796875 1764294081.6396
MEM 0.796875 1764294081.7448
MEM 0.796875 1764294081.8453
MEM 0.796875 1764294081.9465
MEM 0.796875 1764294082.0468
MEM 0.796875 1764294082.1477
MEM 0.796875 1764294082.2503
MEM 0.796875 1764294082.3540
MEM 0.796875 1764294082.4543
MEM 0.781250 1764294082.5595
MEM 0.765625 1764294082.6647
MEM 0.375000 1764294082.7687
MEM 0.375000 1764294082.8739
MEM 0.375000 1764294082.9793
MEM 0.375000 1764294083.0844
MEM 0.375000 1764294083.1896
MEM 0.375000 1764294083.3053
MEM 0.343750 1764294083.4100
MEM 0.328125 1764294083.5152
MEM 0.328125 1764294083.6204
MEM 0.328125 1764294083.7257
MEM 0.328125 1764294083.8310
MEM 0.328125 1764294083.9361
MEM 0.312500 1764294084.0384
MEM 0.312500 1764294084.1410
MEM 0.312500 1764294084.2412
MEM 0.312500 1764294084.3419
MEM 0.312500 1764294084.4472
MEM 0.312500 1764294084.5483
MEM 0.312500 1764294084.6534
MEM 0.312500 1764294084.7539
MEM 0.312500 1764294084.8590
MEM 0.312500 1764294084.9644
MEM 0.312500 1764294085.0688
