CMDLINE ./run.sh
MEM 0.718750 1764287245.3755
MEM 1.640625 1764287245.4780
MEM 1.640625 1764287245.5831
MEM 1.640625 1764287245.6883
MEM 1.640625 1764287245.7934
MEM 1.640625 1764287245.8966
MEM 1.640625 1764287246.0017
MEM 1.640625 1764287246.1054
MEM 1.640625 1764287246.2080
MEM 1.640625 1764287246.3123
MEM 1.640625 1764287246.4174
MEM 1.640625 1764287246.5206
MEM 1.640625 1764287246.6258
MEM 1.640625 1764287246.7309
MEM 1.640625 1764287246.8361
MEM 1.640625 1764287246.9382
MEM 1.640625 1764287247.0408
MEM 1.640625 1764287247.1417
MEM 1.640625 1764287247.2468
MEM 1.640625 1764287247.3519
MEM 1.640625 1764287247.4540
MEM 1.640625 1764287247.5577
MEM 1.640625 1764287247.6629
MEM 1.640625 1764287247.7642
MEM 1.640625 1764287247.8693
MEM 1.640625 1764287247.9706
MEM 1.640625 1764287248.0724
MEM 1.640625 1764287248.1776
MEM 1.640625 1764287248.2808
MEM 1.640625 1764287248.3845
MEM 1.640625 1764287248.4896
MEM 1.640625 1764287248.5948
MEM 1.640625 1764287248.6957
MEM 1.640625 1764287248.7994
MEM 1.640625 1764287248.9040
MEM 1.640625 1764287249.0091
MEM 1.640625 1764287249.1143
MEM 1.640625 1764287249.2194
MEM 1.640625 1764287249.3207
MEM 1.640625 1764287249.4226
MEM 1.640625 1764287249.5278
MEM 1.640625 1764287249.6325
MEM 1.640625 1764287249.7377
MEM 1.640625 1764287249.8429
MEM 1.640625 1764287249.9481
MEM 1.640625 1764287250.0532
MEM 1.640625 1764287250.1540
MEM 1.640625 1764287250.2559
MEM 1.640625 1764287250.3611
MEM 1.640625 1764287250.4642
MEM 1.640625 1764287250.5694
MEM 1.640625 1764287250.6746
MEM 1.640625 1764287250.7791
MEM 1.640625 1764287250.8842
MEM 1.640625 1764287250.9893
MEM 1.640625 1764287251.0920
MEM 1.640625 1764287251.1957
MEM 1.640625 1764287251.3009
MEM 1.640625 1764287251.4041
MEM 1.640625 1764287251.5094
MEM 1.640625 1764287251.6126
MEM 1.640625 1764287251.7182
MEM 1.640625 1764287251.8235
MEM 1.640625 1764287251.9281
MEM 1.640625 1764287252.0335
MEM 1.640625 1764287252.1389
MEM 1.640625 1764287252.2444
MEM 1.640625 1764287252.3499
MEM 1.640625 1764287252.4546
MEM 1.640625 1764287252.5564
MEM 1.640625 1764287252.6616
MEM 1.640625 1764287252.7626
MEM 1.640625 1764287252.8635
MEM 1.640625 1764287252.9649
MEM 1.640625 1764287253.0688
MEM 1.640625 1764287253.1733
MEM 1.640625 1764287253.2784
MEM 1.640625 1764287253.3800
MEM 1.640625 1764287253.4836
MEM 1.640625 1764287253.5878
MEM 1.640625 1764287253.6901
MEM 1.640625 1764287253.7949
MEM 1.640625 1764287253.8986
MEM 1.640625 1764287254.0035
MEM 1.640625 1764287254.1051
MEM 1.640625 1764287254.2105
MEM 1.640625 1764287254.3159
MEM 1.640625 1764287254.4207
MEM 1.640625 1764287254.5262
MEM 1.640625 1764287254.6282
MEM 1.640625 1764287254.7310
MEM 1.640625 1764287254.8363
MEM 1.640625 1764287254.9419
MEM 1.640625 1764287255.0422
MEM 1.640625 1764287255.1438
MEM 1.640625 1764287255.2461
MEM 1.640625 1764287255.3472
MEM 1.640625 1764287255.4525
MEM 1.640625 1764287255.5559
MEM 1.640625 1764287255.6587
MEM 1.640625 1764287255.7638
MEM 1.640625 1764287255.8693
MEM 1.640625 1764287255.9719
MEM 1.640625 1764287256.0770
MEM 1.640625 1764287256.1823
MEM 1.640625 1764287256.2877
MEM 1.640625 1764287256.3889
MEM 1.640625 1764287256.4916
MEM 1.640625 1764287256.5969
MEM 1.640625 1764287256.7019
MEM 1.640625 1764287256.8044
MEM 1.640625 1764287256.9097
MEM 1.640625 1764287257.0151
MEM 1.640625 1764287257.1204
MEM 1.640625 1764287257.2259
MEM 1.640625 1764287257.3267
MEM 1.640625 1764287257.4322
MEM 1.640625 1764287257.5377
MEM 1.640625 1764287257.6391
MEM 1.640625 1764287257.7421
MEM 1.640625 1764287257.8473
MEM 1.640625 1764287257.9524
