CMDLINE ./run.sh
MEM 0.328125 1764287280.4015
MEM 0.328125 1764287280.5056
MEM 0.328125 1764287280.6092
MEM 0.328125 1764287280.7123
MEM 0.328125 1764287280.8159
MEM 0.328125 1764287280.9215
MEM 0.328125 1764287281.0256
MEM 0.328125 1764287281.1308
MEM 0.328125 1764287281.2357
MEM 0.328125 1764287281.3385
MEM 0.328125 1764287281.4392
MEM 0.328125 1764287281.5413
MEM 0.328125 1764287281.6440
MEM 0.328125 1764287281.7478
MEM 0.328125 1764287281.8518
MEM 0.328125 1764287281.9568
MEM 0.328125 1764287282.0594
MEM 0.328125 1764287282.1648
MEM 0.328125 1764287282.2672
MEM 0.328125 1764287282.3726
MEM 0.328125 1764287282.4757
MEM 0.328125 1764287282.5809
MEM 0.328125 1764287282.6843
MEM 0.328125 1764287282.7853
MEM 0.328125 1764287282.8856
MEM 0.328125 1764287282.9866
MEM 0.328125 1764287283.0877
MEM 0.328125 1764287283.1931
MEM 0.328125 1764287283.2957
MEM 0.328125 1764287283.4005
MEM 0.328125 1764287283.5046
MEM 0.328125 1764287283.6088
MEM 0.328125 1764287283.7123
MEM 0.328125 1764287283.8162
MEM 0.328125 1764287283.9217
MEM 0.328125 1764287284.0263
MEM 0.328125 1764287284.1316
MEM 0.328125 1764287284.2370
MEM 0.328125 1764287284.3403
MEM 0.328125 1764287284.4448
MEM 0.328125 1764287284.5500
MEM 0.328125 1764287284.6527
MEM 0.328125 1764287284.7557
MEM 0.328125 1764287284.8581
MEM 0.328125 1764287284.9588
MEM 0.328125 1764287285.0624
MEM 0.328125 1764287285.1664
MEM 0.328125 1764287285.2711
MEM 0.328125 1764287285.3747
MEM 0.328125 1764287285.4753
MEM 0.328125 1764287285.5790
MEM 0.328125 1764287285.6832
MEM 0.328125 1764287285.7887
MEM 0.328125 1764287285.8940
MEM 0.328125 1764287285.9948
MEM 0.328125 1764287286.0978
MEM 0.328125 1764287286.2017
MEM 0.328125 1764287286.3071
MEM 0.328125 1764287286.4119
MEM 0.328125 1764287286.5159
MEM 0.328125 1764287286.6169
MEM 0.328125 1764287286.7198
MEM 0.328125 1764287286.8255
MEM 0.328125 1764287286.9310
MEM 0.328125 1764287287.0363
MEM 0.328125 1764287287.1417
MEM 0.328125 1764287287.2464
MEM 0.328125 1764287287.3487
MEM 0.328125 1764287287.4539
MEM 0.328125 1764287287.5593
MEM 0.328125 1764287287.6597
MEM 0.328125 1764287287.7621
MEM 0.328125 1764287287.8672
MEM 0.328125 1764287287.9681
MEM 0.328125 1764287288.0716
MEM 0.328125 1764287288.1748
MEM 0.328125 1764287288.2751
MEM 0.328125 1764287288.3796
MEM 0.328125 1764287288.4831
MEM 0.328125 1764287288.5879
MEM 0.328125 1764287288.6926
MEM 0.328125 1764287288.7979
MEM 0.328125 1764287288.9029
MEM 0.328125 1764287289.0074
MEM 0.328125 1764287289.1085
MEM 0.328125 1764287289.2091
MEM 0.328125 1764287289.3145
MEM 0.328125 1764287289.4159
MEM 0.328125 1764287289.5167
MEM 0.328125 1764287289.6192
MEM 0.328125 1764287289.7195
MEM 0.328125 1764287289.8249
MEM 0.328125 1764287289.9287
MEM 0.328125 1764287290.0293
MEM 0.328125 1764287290.1341
MEM 0.328125 1764287290.2357
MEM 0.328125 1764287290.3410
MEM 0.328125 1764287290.4440
MEM 0.328125 1764287290.5448
MEM 0.328125 1764287290.6500
