CMDLINE python3 pipeline.py
MEM 0.125000 1764810633.4111
MEM 76.859375 1764810633.5164
MEM 130.062500 1764810633.6178
MEM 156.562500 1764810633.7229
MEM 175.125000 1764810633.8271
MEM 184.703125 1764810633.9275
MEM 205.000000 1764810634.0326
MEM 212.687500 1764810634.1378
MEM 220.203125 1764810634.2425
MEM 224.406250 1764810634.3435
MEM 225.437500 1764810634.4440
MEM 226.265625 1764810634.5492
MEM 247.937500 1764810634.6510
MEM 271.250000 1764810634.7553
MEM 283.328125 1764810634.8604
MEM 303.187500 1764810634.9656
MEM 321.562500 1764810635.0678
MEM 335.687500 1764810635.1729
MEM 344.828125 1764810635.2781
MEM 369.500000 1764810635.3832
MEM 401.812500 1764810635.4884
MEM 412.796875 1764810635.5886
MEM 432.406250 1764810635.6938
MEM 442.531250 1764810635.7979
MEM 463.093750 1764810635.8984
MEM 2264.109375 1764810636.0036
MEM 4180.546875 1764810636.1052
MEM 6136.640625 1764810636.2104
MEM 7868.343750 1764810636.3136
MEM 9476.562500 1764810636.4138
MEM 10259.062500 1764810636.5189
MEM 10515.765625 1764810636.6240
MEM 10546.062500 1764810636.7285
MEM 10546.578125 1764810636.8302
MEM 10469.031250 1764810636.9334
MEM 10520.781250 1764810637.0386
MEM 10470.125000 1764810637.1438
MEM 10470.125000 1764810637.2469
MEM 10470.125000 1764810637.3486
MEM 10470.125000 1764810637.4538
MEM 10470.125000 1764810637.5552
MEM 10470.125000 1764810637.6592
MEM 10470.125000 1764810637.7644
MEM 10470.125000 1764810637.8679
MEM 10474.515625 1764810637.9730
MEM 10331.046875 1764810638.0782
MEM 9735.312500 1764810638.1834
MEM 9744.437500 1764810638.2886
MEM 9745.703125 1764810638.3938
MEM 9693.296875 1764810638.4991
MEM 9714.359375 1764810638.6043
MEM 9712.343750 1764810638.7095
MEM 9223.750000 1764810638.8100
MEM 8908.578125 1764810638.9123
MEM 8661.484375 1764810639.0141
MEM 8195.031250 1764810639.1164
MEM 7846.750000 1764810639.2167
MEM 7662.750000 1764810639.3174
MEM 7324.187500 1764810639.4190
MEM 7003.234375 1764810639.5193
MEM 7140.968750 1764810639.6245
MEM 7428.109375 1764810639.7254
MEM 7746.328125 1764810639.8306
MEM 8001.625000 1764810639.9343
MEM 8245.859375 1764810640.0395
MEM 8490.500000 1764810640.1403
MEM 8692.937500 1764810640.2455
MEM 8692.953125 1764810640.3463
MEM 8692.953125 1764810640.4514
MEM 8692.953125 1764810640.5565
MEM 8692.937500 1764810640.6616
MEM 8692.937500 1764810640.7667
MEM 8692.937500 1764810640.8719
MEM 8692.937500 1764810640.9770
MEM 8692.937500 1764810641.0794
MEM 8692.937500 1764810641.1845
MEM 8692.937500 1764810641.2881
MEM 8692.937500 1764810641.3932
MEM 8692.937500 1764810641.4965
MEM 8692.937500 1764810641.5981
MEM 8692.937500 1764810641.6983
MEM 8692.937500 1764810641.7984
MEM 8692.937500 1764810641.9026
MEM 8692.937500 1764810642.0051
MEM 8692.937500 1764810642.1103
MEM 8692.937500 1764810642.2134
MEM 8692.937500 1764810642.3152
MEM 8692.937500 1764810642.4203
MEM 8692.937500 1764810642.5254
MEM 8692.937500 1764810642.6291
MEM 8692.937500 1764810642.7342
MEM 8692.937500 1764810642.8393
MEM 8692.312500 1764810642.9444
MEM 8692.312500 1764810643.0495
MEM 8692.312500 1764810643.1547
MEM 8692.312500 1764810643.2599
MEM 8690.421875 1764810643.3602
MEM 8688.546875 1764810643.4618
MEM 8688.500000 1764810643.5628
MEM 8688.453125 1764810643.6640
MEM 8688.453125 1764810643.7659
MEM 8688.453125 1764810643.8664
MEM 8688.453125 1764810643.9685
MEM 8688.453125 1764810644.0694
MEM 8688.453125 1764810644.1738
MEM 8688.453125 1764810644.2758
MEM 8688.453125 1764810644.3800
MEM 8688.453125 1764810644.4832
MEM 8685.796875 1764810644.5850
MEM 8685.796875 1764810644.6852
MEM 8685.796875 1764810644.7874
MEM 8685.796875 1764810644.8926
MEM 8685.796875 1764810644.9937
MEM 8685.796875 1764810645.0949
MEM 8685.796875 1764810645.2001
