CMDLINE python3 pipeline.py
MEM 0.156250 1764810640.0981
MEM 29.640625 1764810640.2023
MEM 99.765625 1764810640.3026
MEM 138.937500 1764810640.4078
MEM 157.703125 1764810640.5120
MEM 172.937500 1764810640.6170
MEM 186.421875 1764810640.7211
MEM 205.859375 1764810640.8228
MEM 215.328125 1764810640.9279
MEM 218.312500 1764810641.0298
MEM 219.437500 1764810641.1349
MEM 221.046875 1764810641.2389
MEM 222.359375 1764810641.3440
MEM 222.765625 1764810641.4483
MEM 236.750000 1764810641.5500
MEM 255.500000 1764810641.6541
MEM 271.500000 1764810641.7592
MEM 282.109375 1764810641.8643
MEM 299.328125 1764810641.9694
MEM 312.296875 1764810642.0745
MEM 328.218750 1764810642.1797
MEM 339.203125 1764810642.2847
MEM 359.875000 1764810642.3898
MEM 379.265625 1764810642.4949
MEM 399.218750 1764810642.6001
MEM 409.015625 1764810642.7052
MEM 424.562500 1764810642.8103
MEM 431.390625 1764810642.9128
MEM 445.312500 1764810643.0179
MEM 553.421875 1764810643.1187
MEM 1180.156250 1764810643.2210
MEM 1931.734375 1764810643.3212
MEM 2701.765625 1764810643.4264
MEM 3222.828125 1764810643.5282
MEM 3555.984375 1764810643.6298
MEM 3677.640625 1764810643.7301
MEM 3818.421875 1764810643.8312
MEM 3907.718750 1764810643.9323
MEM 4038.156250 1764810644.0328
MEM 4296.125000 1764810644.1379
MEM 4398.203125 1764810644.2432
MEM 4466.093750 1764810644.3439
MEM 4736.953125 1764810644.4488
MEM 4724.250000 1764810644.5508
MEM 4371.609375 1764810644.6560
MEM 4377.390625 1764810644.7611
MEM 4417.000000 1764810644.8663
MEM 4302.609375 1764810644.9668
MEM 4326.890625 1764810645.0720
MEM 4348.187500 1764810645.1742
MEM 4353.734375 1764810645.2744
MEM 4410.468750 1764810645.3749
MEM 4417.687500 1764810645.4780
MEM 4662.890625 1764810645.5800
MEM 4975.437500 1764810645.6849
MEM 5262.656250 1764810645.7872
MEM 5532.718750 1764810645.8924
MEM 5793.984375 1764810645.9968
MEM 5962.046875 1764810646.0982
MEM 6161.375000 1764810646.2007
MEM 6456.843750 1764810646.3019
MEM 6743.656250 1764810646.4065
MEM 7072.671875 1764810646.5106
MEM 7535.250000 1764810646.6158
MEM 7869.562500 1764810646.7163
MEM 8036.703125 1764810646.8167
MEM 8203.968750 1764810646.9218
MEM 8536.656250 1764810647.0269
MEM 8892.421875 1764810647.1321
MEM 9098.484375 1764810647.2324
MEM 9145.562500 1764810647.3325
MEM 8876.734375 1764810647.4329
MEM 8621.296875 1764810647.5377
MEM 8294.890625 1764810647.6428
MEM 8236.390625 1764810647.7432
MEM 8062.015625 1764810647.8437
MEM 7751.625000 1764810647.9491
MEM 7396.781250 1764810648.0543
MEM 7115.000000 1764810648.1568
MEM 6864.734375 1764810648.2570
MEM 6587.828125 1764810648.3623
MEM 6248.343750 1764810648.4635
MEM 5907.593750 1764810648.5640
MEM 5593.015625 1764810648.6692
MEM 5535.593750 1764810648.7744
MEM 5535.593750 1764810648.8796
MEM 5535.593750 1764810648.9800
MEM 5535.593750 1764810649.0851
MEM 5535.593750 1764810649.1905
MEM 5535.609375 1764810649.2922
MEM 5535.609375 1764810649.3968
MEM 5535.609375 1764810649.4974
MEM 5535.609375 1764810649.6016
MEM 5535.609375 1764810649.7065
MEM 5535.609375 1764810649.8067
MEM 5535.609375 1764810649.9119
MEM 5535.609375 1764810650.0157
MEM 5535.609375 1764810650.1210
MEM 5535.609375 1764810650.2231
MEM 5535.609375 1764810650.3241
MEM 5535.609375 1764810650.4294
MEM 5535.609375 1764810650.5347
MEM 5535.609375 1764810650.6401
MEM 5535.609375 1764810650.7454
MEM 5535.609375 1764810650.8501
MEM 5535.609375 1764810650.9553
MEM 5535.609375 1764810651.0566
MEM 5535.609375 1764810651.1576
MEM 5535.609375 1764810651.2628
MEM 5535.609375 1764810651.3631
MEM 5535.609375 1764810651.4687
MEM 5535.609375 1764810651.5735
MEM 5535.609375 1764810651.6790
MEM 5535.609375 1764810651.7831
MEM 5535.609375 1764810651.8868
MEM 5535.609375 1764810651.9883
MEM 5535.609375 1764810652.0935
MEM 5535.609375 1764810652.1967
MEM 5535.609375 1764810652.3022
MEM 5535.609375 1764810652.4077
MEM 5535.609375 1764810652.5115
MEM 5535.609375 1764810652.6144
MEM 5535.609375 1764810652.7197
MEM 5535.609375 1764810652.8221
MEM 5535.609375 1764810652.9275
MEM 5535.609375 1764810653.0305
MEM 5535.609375 1764810653.1358
MEM 5535.609375 1764810653.2411
MEM 5535.609375 1764810653.3454
MEM 5535.609375 1764810653.4503
MEM 5535.609375 1764810653.5525
MEM 5535.609375 1764810653.6552
MEM 5535.609375 1764810653.7579
MEM 5535.609375 1764810653.8631
MEM 5535.609375 1764810653.9663
MEM 5535.609375 1764810654.0711
MEM 5535.609375 1764810654.1720
MEM 5535.609375 1764810654.2773
