CMDLINE python3 pipeline.py
MEM 11474.312500 1764810638.0897
MEM 11474.312500 1764810638.1948
MEM 11474.312500 1764810638.2969
MEM 11474.312500 1764810638.4021
MEM 11474.296875 1764810638.5072
MEM 11474.296875 1764810638.6123
MEM 11474.296875 1764810638.7126
MEM 11474.296875 1764810638.8130
MEM 11474.296875 1764810638.9176
MEM 11474.296875 1764810639.0206
MEM 11474.296875 1764810639.1219
MEM 11474.296875 1764810639.2270
MEM 11474.296875 1764810639.3272
MEM 11474.296875 1764810639.4321
MEM 11468.375000 1764810639.5335
MEM 10968.109375 1764810639.6387
MEM 10172.875000 1764810639.7409
MEM 9424.531250 1764810639.8451
MEM 8724.421875 1764810639.9501
MEM 8085.312500 1764810640.0510
MEM 7435.500000 1764810640.1528
MEM 6814.875000 1764810640.2580
MEM 6355.515625 1764810640.3631
MEM 6312.796875 1764810640.4682
MEM 6245.906250 1764810640.5733
MEM 6240.015625 1764810640.6784
MEM 6195.281250 1764810640.7835
MEM 6143.843750 1764810640.8886
MEM 6123.156250 1764810640.9936
MEM 6083.250000 1764810641.0987
MEM 6060.046875 1764810641.2038
MEM 6015.625000 1764810641.3089
MEM 6004.390625 1764810641.4140
MEM 5975.625000 1764810641.5191
MEM 5691.296875 1764810641.6242
MEM 5650.750000 1764810641.7293
MEM 5597.703125 1764810641.8344
MEM 5555.375000 1764810641.9395
MEM 5543.078125 1764810642.0446
MEM 5499.812500 1764810642.1497
MEM 5499.812500 1764810642.2548
MEM 5499.812500 1764810642.3599
MEM 5499.812500 1764810642.4649
MEM 5435.062500 1764810642.5701
MEM 5168.687500 1764810642.6752
MEM 5134.187500 1764810642.7803
MEM 4906.828125 1764810642.8823
MEM 4640.109375 1764810642.9874
MEM 4640.109375 1764810643.0925
MEM 4229.812500 1764810643.1930
MEM 4229.812500 1764810643.2963
MEM 4229.812500 1764810643.3990
MEM 4229.750000 1764810643.5001
MEM 4205.828125 1764810643.6027
MEM 3820.640625 1764810643.7078
MEM 3378.296875 1764810643.8130
MEM 2978.843750 1764810643.9135
MEM 2760.343750 1764810644.0144
MEM 2593.437500 1764810644.1149
MEM 2341.015625 1764810644.2203
MEM 2114.687500 1764810644.3220
MEM 1999.062500 1764810644.4272
MEM 1933.656250 1764810644.5301
MEM 1933.656250 1764810644.6353
MEM 1896.828125 1764810644.7368
MEM 1835.812500 1764810644.8419
MEM 1754.875000 1764810644.9447
MEM 1732.421875 1764810645.0468
MEM 1694.921875 1764810645.1489
MEM 1684.343750 1764810645.2493
MEM 1660.875000 1764810645.3505
MEM 1659.265625 1764810645.4516
MEM 1260.046875 1764810645.5518
MEM 480.046875 1764810645.6524
MEM 133.656250 1764810645.7528
MEM 133.656250 1764810645.8580
MEM 133.656250 1764810645.9582
MEM 133.656250 1764810646.0598
MEM 133.656250 1764810646.1630
MEM 133.656250 1764810646.2681
MEM 125.937500 1764810646.3684
MEM 125.937500 1764810646.4724
MEM 125.937500 1764810646.5756
MEM 125.937500 1764810646.6777
MEM 125.937500 1764810646.7781
MEM 123.562500 1764810646.8802
MEM 120.703125 1764810646.9855
MEM 98.812500 1764810647.0857
MEM 99.328125 1764810647.1865
MEM 96.578125 1764810647.2918
MEM 96.031250 1764810647.3923
MEM 95.750000 1764810647.4928
MEM 95.031250 1764810647.5933
MEM 94.953125 1764810647.6986
MEM 94.671875 1764810647.7990
MEM 94.609375 1764810647.9043
MEM 94.593750 1764810648.0054
MEM 91.281250 1764810648.1107
MEM 91.046875 1764810648.2116
MEM 91.046875 1764810648.3121
MEM 91.046875 1764810648.4173
MEM 91.046875 1764810648.5218
MEM 91.046875 1764810648.6236
MEM 87.718750 1764810648.7254
MEM 87.718750 1764810648.8305
MEM 87.718750 1764810648.9357
MEM 87.718750 1764810649.0408
MEM 87.718750 1764810649.1460
MEM 87.718750 1764810649.2495
MEM 87.718750 1764810649.3513
MEM 87.718750 1764810649.4561
MEM 87.718750 1764810649.5567
MEM 87.718750 1764810649.6590
MEM 87.718750 1764810649.7597
MEM 87.718750 1764810649.8609
MEM 87.718750 1764810649.9661
MEM 87.718750 1764810650.0713
MEM 87.718750 1764810650.1719
MEM 87.718750 1764810650.2725
MEM 87.718750 1764810650.3749
MEM 87.718750 1764810650.4796
MEM 87.718750 1764810650.5848
MEM 87.718750 1764810650.6901
MEM 87.718750 1764810650.7921
MEM 87.718750 1764810650.8969
MEM 87.718750 1764810651.0008
MEM 87.718750 1764810651.1053
MEM 87.718750 1764810651.2104
MEM 87.718750 1764810651.3155
MEM 87.718750 1764810651.4209
MEM 87.718750 1764810651.5252
MEM 87.718750 1764810651.6303
MEM 87.718750 1764810651.7349
MEM 87.718750 1764810651.8388
MEM 87.718750 1764810651.9440
MEM 87.718750 1764810652.0491
MEM 87.718750 1764810652.1542
MEM 87.718750 1764810652.2595
MEM 87.718750 1764810652.3615
MEM 87.718750 1764810652.4654
MEM 87.718750 1764810652.5669
MEM 87.718750 1764810652.6719
MEM 87.718750 1764810652.7745
MEM 87.718750 1764810652.8760
MEM 87.718750 1764810652.9802
MEM 87.718750 1764810653.0845
MEM 87.718750 1764810653.1899
MEM 87.718750 1764810653.2919
MEM 87.718750 1764810653.3972
MEM 87.718750 1764810653.5026
MEM 87.718750 1764810653.6071
MEM 87.718750 1764810653.7081
MEM 87.718750 1764810653.8108
MEM 87.718750 1764810653.9161
MEM 87.718750 1764810654.0186
MEM 87.718750 1764810654.1239
MEM 87.718750 1764810654.2292
MEM 87.718750 1764810654.3314
MEM 87.718750 1764810654.4336
MEM 87.718750 1764810654.5385
MEM 87.718750 1764810654.6417
MEM 87.718750 1764810654.7457
MEM 87.718750 1764810654.8499
MEM 87.718750 1764810654.9506
MEM 87.718750 1764810655.0520
MEM 87.718750 1764810655.1573
MEM 87.718750 1764810655.2625
MEM 87.718750 1764810655.3667
MEM 87.718750 1764810655.4697
MEM 87.718750 1764810655.5747
MEM 87.718750 1764810655.6762
MEM 87.718750 1764810655.7815
MEM 87.718750 1764810655.8867
MEM 87.718750 1764810655.9901
MEM 87.718750 1764810656.0921
MEM 87.718750 1764810656.1974
MEM 87.718750 1764810656.2979
MEM 87.718750 1764810656.4030
MEM 87.718750 1764810656.5081
MEM 87.718750 1764810656.6131
MEM 87.718750 1764810656.7164
MEM 87.718750 1764810656.8216
MEM 87.718750 1764810656.9267
MEM 87.718750 1764810657.0318
MEM 87.718750 1764810657.1370
MEM 87.718750 1764810657.2384
MEM 87.718750 1764810657.3435
MEM 87.718750 1764810657.4487
MEM 87.718750 1764810657.5526
MEM 87.718750 1764810657.6579
MEM 87.718750 1764810657.7632
MEM 87.718750 1764810657.8684
MEM 87.718750 1764810657.9737
MEM 87.718750 1764810658.0759
MEM 87.718750 1764810658.1801
MEM 87.718750 1764810658.2808
MEM 87.718750 1764810658.3824
MEM 87.718750 1764810658.4876
MEM 87.718750 1764810658.5930
MEM 87.718750 1764810658.6983
MEM 87.718750 1764810658.8015
MEM 87.718750 1764810658.9069
MEM 87.718750 1764810659.0095
MEM 87.718750 1764810659.1115
MEM 87.718750 1764810659.2169
MEM 87.718750 1764810659.3179
MEM 87.718750 1764810659.4228
MEM 87.718750 1764810659.5266
MEM 87.718750 1764810659.6318
MEM 87.718750 1764810659.7343
MEM 87.718750 1764810659.8373
MEM 87.718750 1764810659.9405
MEM 87.718750 1764810660.0418
MEM 87.718750 1764810660.1453
MEM 87.718750 1764810660.2489
MEM 87.718750 1764810660.3502
MEM 87.718750 1764810660.4546
MEM 87.718750 1764810660.5609
MEM 87.718750 1764810660.6627
MEM 87.718750 1764810660.7649
MEM 87.718750 1764810660.8702
MEM 87.718750 1764810660.9756
MEM 87.718750 1764810661.0808
MEM 87.718750 1764810661.1841
MEM 87.718750 1764810661.2894
MEM 87.718750 1764810661.3919
MEM 87.718750 1764810661.4972
MEM 87.718750 1764810661.6013
MEM 87.718750 1764810661.7056
MEM 87.718750 1764810661.8109
MEM 87.718750 1764810661.9160
MEM 87.718750 1764810662.0190
MEM 87.718750 1764810662.1244
MEM 87.718750 1764810662.2298
MEM 87.718750 1764810662.3315
MEM 87.718750 1764810662.4347
MEM 87.718750 1764810662.5399
MEM 87.718750 1764810662.6452
MEM 87.718750 1764810662.7499
MEM 87.718750 1764810662.8528
MEM 87.718750 1764810662.9556
MEM 87.718750 1764810663.0573
MEM 87.718750 1764810663.1585
MEM 87.718750 1764810663.2637
MEM 87.718750 1764810663.3659
MEM 87.718750 1764810663.4683
MEM 87.718750 1764810663.5694
MEM 87.718750 1764810663.6742
MEM 87.718750 1764810663.7759
MEM 87.718750 1764810663.8802
MEM 87.718750 1764810663.9855
MEM 87.718750 1764810664.0885
MEM 87.718750 1764810664.1933
